code;score_2025;samples_count;score_min;score_max
34700;108.810;3;108.810;194.940
34701;176.080;3;176.080;188.470
34702;142.780;6;142.780;182.670
34740;126.700;2;126.700;154.110
34741;131.230;2;131.230;172.630
34743;151.310;2;151.310;160.860
34744;127.670;2;127.670;148.120
34752;119.680;2;119.680;135.240
34799;130.460;4;130.460;152.580
35505;80.150;3;80.150;110.960
35522;124.650;3;124.650;154.230
35523;151.360;4;151.360;170.510
35573;119.490;4;119.490;173.300
35574;84.050;4;84.050;117.650
35629;113.810;3;113.810;129.540
36207;95.610;7;95.610;142.660
36208;90.030;10;90.030;143.610
36209;94.070;6;94.070;117.360
36311;128.320;3;128.320;187.790
36312;88.480;3;88.480;109.610
36318;104.580;4;104.580;185.030
36322;111.420;4;111.420;147.330
36391;104.370;5;104.370;124.820
36394;87.180;4;87.180;127.090
36396;98.300;4;98.300;143.860
36477;120.190;5;120.190;142.750
36523;95.530;7;95.530;182.900
36524;138.990;3;138.990;168.510
36546;116.350;2;116.350;121.090
36551;113.870;3;113.870;142.120
36566;103.220;5;103.220;162.220
36570;98.750;4;98.750;116.470
36571;102.810;4;102.810;140.030
36573;120.820;3;120.820;132.760
36629;108.290;3;108.290;127.090
37311;106.070;8;106.070;147.570
40101;78.850;3;78.850;118.370
40102;70.280;9;70.280;157.880
40103;65.830;4;65.830;94.280
40104;100.040;4;100.040;121.130
40105;86.720;8;86.720;148.220
40120;100.340;5;100.340;174.870
40122;76.510;4;76.510;186.220
40123;78.150;4;78.150;100.810
40124;78.650;4;78.650;115.070
40147;98.570;4;98.570;115.980
40161;75.050;7;75.050;122.330
40201;74.930;4;74.930;106.540
40202;76.770;5;76.770;180.620
40207;74.030;7;74.030;172.790
40208;77.560;4;77.560;116.430
40209;83.950;6;83.950;118.560
40247;79.580;3;79.580;121.700
40265;94.920;5;94.920;120.330
40301;85.740;11;85.740;158.780
40311;107.410;5;107.410;158.150
40312;98.560;3;98.560;113.770
40318;92.270;5;92.270;164.440
40391;95.460;4;95.460;128.040
40394;96.060;4;96.060;109.570
40396;111.940;4;111.940;132.320
40450;76.570;12;76.570;156.980
40501;86.230;3;86.230;108.360
40502;85.240;3;85.240;97.830
40503;73.940;2;73.940;83.770
40504;75.940;3;75.940;99.800
40505;95.100;3;95.100;107.170
40507;109.870;3;109.870;144.520
40509;76.370;2;76.370;105.500
40510;84.440;1;84.440;84.440
40512;80.620;1;80.620;80.620
40513;93.900;1;93.900;93.900
40518;165.890;3;165.890;180.500
40522;108.010;3;108.010;170.470
40523;86.120;4;86.120;142.990
40524;104.640;4;104.640;138.150
40532;99.780;2;99.780;158.970
40546;103.070;2;103.070;106.890
40550;77.050;3;77.050;163.290
40566;106.500;4;106.500;143.160
40568;96.850;3;96.850;117.720
40570;98.780;4;98.780;131.430
40573;72.820;7;72.820;155.930
40576;76.920;4;76.920;106.860
40577;77.510;3;77.510;102.460
40597;89.730;3;89.730;107.600
40622;84.570;5;84.570;128.530
40629;101.830;3;101.830;114.420
40672;103.720;4;103.720;122.100
40673;77.910;4;77.910;151.630
40700;167.310;3;167.310;174.820
40740;110.480;2;110.480;143.200
40741;135.860;2;135.860;162.320
40743;142.880;2;142.880;149.820
40744;141.120;2;141.120;163.880
40749;122.990;3;122.990;143.410
40750;137.510;3;137.510;165.600
40759;144.060;4;144.060;174.710
40797;156.870;4;156.870;197.240
40799;187.070;4;187.070;197.510
40832;158.080;1;158.080;158.080
40841;106.260;1;106.260;106.260
41311;109.530;5;109.530;159.020
41312;92.690;3;92.690;130.310
41318;92.410;5;92.410;150.510
41518;168.920;3;168.920;178.440
41522;101.780;3;101.780;173.350
41523;100.670;4;100.670;130.760
41546;105.780;2;105.780;118.090
41570;106.080;3;106.080;126.670
41629;96.210;6;96.210;145.800
41797;138.310;4;138.310;190.680
41832;119.560;1;119.560;119.560
42311;126.930;4;126.930;141.810
42312;87.920;3;87.920;101.150
42318;94.030;4;94.030;148.210
43312;98.270;3;98.270;122.350
43318;106.880;4;106.880;132.270
44311;129.580;4;129.580;156.860
50101;81.940;3;81.940;134.280
50102;77.860;4;77.860;144.490
50103;88.380;4;88.380;123.710
50104;99.670;4;99.670;134.300
50105;84.240;4;84.240;137.300
50106;97.620;4;97.620;117.610
50162;76.030;5;76.030;124.020
50201;73.210;8;73.210;116.840
50202;86.380;5;86.380;114.230
50207;72.960;12;72.960;128.450
50209;80.910;5;80.910;104.510
50301;72.040;5;72.040;112.660
50311;89.130;8;89.130;161.560
50312;71.940;3;71.940;123.880
50318;96.950;4;96.950;147.080
50394;89.990;4;89.990;120.060
50477;117.230;5;117.230;129.670
50501;81.860;3;81.860;114.660
50503;99.500;2;99.500;102.480
50507;104.800;3;104.800;170.450
50509;91.820;2;91.820;97.440
50510;89.830;1;89.830;89.830
50513;96.470;4;96.470;193.410
50518;151.620;6;151.620;186.200
50522;81.790;3;81.790;177.950
50523;125.190;3;125.190;161.500
50524;84.790;4;84.790;142.190
50532;128.990;2;128.990;162.530
50546;101.980;2;101.980;112.690
50550;108.600;3;108.600;143.540
50568;90.110;3;90.110;124.930
50570;104.770;6;104.770;126.400
50571;101.560;4;101.560;130.170
50572;102.060;3;102.060;113.270
50573;81.620;4;81.620;91.760
50576;78.940;3;78.940;99.310
50597;97.630;3;97.630;138.020
50603;94.350;2;94.350;112.010
50622;74.890;5;74.890;123.630
50629;83.760;3;83.760;116.020
50797;133.650;4;133.650;191.060
50832;87.520;2;87.520;156.540
51510;79.300;3;79.300;108.810
51523;96.690;3;96.690;137.300
51524;98.900;4;98.900;156.290
51570;84.670;3;84.670;98.240
51629;79.510;3;79.510;95.710
51797;132.470;4;132.470;185.590
52570;87.930;3;87.930;95.940
52629;74.150;3;74.150;122.860
53570;84.780;3;84.780;99.940
54101;80.680;3;80.680;92.440
54102;82.020;4;82.020;129.310
54103;72.930;3;72.930;97.930
54106;76.940;9;76.940;134.790
54391;73.990;4;73.990;152.430
54396;102.290;4;102.290;143.130
54477;97.940;11;97.940;150.710
54512;84.370;1;84.370;84.370
54523;83.490;3;83.490;146.980
54546;106.050;1;106.050;106.050
54566;113.170;4;113.170;137.030
54570;78.450;3;78.450;112.360
54571;76.800;6;76.800;124.990
54573;81.150;4;81.150;100.460
